2018-09-15 14:12:00.450 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.account.demo.AuditingTest], using SpringBootContextLoader
2018-09-15 14:12:00.481 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.account.demo.AuditingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-09-15 14:12:00.483 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.account.demo.AuditingTest]: AuditingTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-09-15 14:12:00.900 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.account.AccountApplication for test class com.account.demo.AuditingTest
2018-09-15 14:12:00.915 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-09-15 14:12:00.966 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7bedc48a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@131ef10, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@55b0dcab, org.springframework.test.context.support.DirtiesContextTestExecutionListener@38afe297, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2df3b89c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@23348b5d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@70325e14, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@37ceb1df, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7c9d8e2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@20d525, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6200f9cb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2002fc1d]
2018-09-15 14:13:36.857 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.account.demo.AuditingTest], using SpringBootContextLoader
2018-09-15 14:13:36.869 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.account.demo.AuditingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-09-15 14:13:36.871 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.account.demo.AuditingTest]: AuditingTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-09-15 14:13:37.100 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.account.AccountApplication for test class com.account.demo.AuditingTest
2018-09-15 14:13:37.151 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
